fuente_pdf,pagina_aprox,sector,fondo_documental,unidad_productora,fraccion_documental,codigo_serie,serie_documental,tipo_documento,valor_serie,retencion_ag,retencion_ap,retencion_oaa,retencion_total,valoracion_decision,valoracion_destino,valoracion_momento,valoracion_justifica,hash_fila
anexo2_layout.txt,95,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),EGRE,EGRE/08,HABILITACIONES DE FONDOS,HABILITACIONES DE FONDOS,TEMPORAL,2,3,5,10,ELIMINACION,Archivo Central (opcional/intermedio),Ejecutar eliminacion documental conforme PCD/AGN.,Agotado el valor primario y vencidos plazos reglados en AG/AP/OAA.,8ff4c204b6d12eed1014af191fc725dd862dfc16f178994077079656e2848180
anexo2_layout.txt,96,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),PRES,PRES/01,CORRESPONDENCIA,CORRESPONDENCIA,TEMPORAL,2,3,5,10,ELIMINACION,Archivo Central (opcional/intermedio),Ejecutar eliminacion documental conforme PCD/AGN.,Agotado el valor primario y vencidos plazos reglados en AG/AP/OAA.,a71dbe02794c886e63c4c394fbb934d1e10c37e8f28ca6d2f1a80c998535d3a0
anexo2_layout.txt,97,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),ASRE,ASRE/01,MOFIDICACIONES PRESUPUESTALES,MOFIDICACIONES PRESUPUESTALES,TEMPORAL,2,0,8,10,ELIMINACION,Archivo Central (opcional/intermedio),Ejecutar eliminacion documental conforme PCD/AGN.,Agotado el valor primario y vencidos plazos reglados en AG/AP/OAA.,4ce9b45b415213a8bcffa287f9a6055b88993d0efd1e3f23e8588ae91c799324
anexo2_layout.txt,97,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),ASRE,ASRE/02,EXPEDIENTES DE EVALUACIONES PRESUPUESTALES,EXPEDIENTES DE EVALUACIONES PRESUPUESTALES,TEMPORAL,2,0,8,10,ELIMINACION,Archivo Central (opcional/intermedio),Ejecutar eliminacion documental conforme PCD/AGN.,Agotado el valor primario y vencidos plazos reglados en AG/AP/OAA.,bf68087e9c14a7763cece31b1a433ac534a4031c7c3f4fc6ebce0c937ba3b8d5
anexo2_layout.txt,97,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),ASRE,ASRE/03,CORRESPONDENCIA,CORRESPONDENCIA,TEMPORAL,2,0,8,10,ELIMINACION,Archivo Central (opcional/intermedio),Ejecutar eliminacion documental conforme PCD/AGN.,Agotado el valor primario y vencidos plazos reglados en AG/AP/OAA.,c1eda4633c3213714405f4566f8f96df9dcba6b55445725032b559cc09bbf354
anexo2_layout.txt,98,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),PRPR,PRPR/01,CORRESPONDENCIA,CORRESPONDENCIA,TEMPORAL,2,0,8,10,ELIMINACION,Archivo Central (opcional/intermedio),Ejecutar eliminacion documental conforme PCD/AGN.,Agotado el valor primario y vencidos plazos reglados en AG/AP/OAA.,47d1b6d86aeeb8f9ea3f3ba36dc1a1327997add9c56177791664b33af2cbbaa6
anexo2_layout.txt,99,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),CONT,CONT/01,CORRESPONDENCIA,CORRESPONDENCIA,TEMPORAL,2,0,8,10,ELIMINACION,Archivo Central (opcional/intermedio),Ejecutar eliminacion documental conforme PCD/AGN.,Agotado el valor primario y vencidos plazos reglados en AG/AP/OAA.,743b4eaba7e85cac472860640798281d4fd07b1e1ecee67494bb47ef8a79f210
anexo2_layout.txt,100,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),PRCO,PRCO/01,LIBROS MAYORES,LIBROS MAYORES,PERMANENTE,3,0,27,30,TRANSFERENCIA,Archivo Central,Conservar en Archivo Central de forma indefinida.,Conservacion permanente segun PCD,b40230b46f91fa7cec8f1714aeb57dacffb129ed26bbe22f1289ae9d87f21044
anexo2_layout.txt,100,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),PRCO,PRCO/02,LIBROS DIARIOS,LIBROS DIARIOS,PERMANENTE,3,0,27,30,TRANSFERENCIA,Archivo Central,Conservar en Archivo Central de forma indefinida.,Conservacion permanente segun PCD,5adefadb370320f581c846edd55b0c6a8b45fb37e31d988591631eb618a86dbd
anexo2_layout.txt,100,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),PRCO,PRCO/03,LIBROS DE INVENTARIOS Y BALANCES,LIBROS DE INVENTARIOS Y BALANCES,PERMANENTE,3,0,27,30,TRANSFERENCIA,Archivo Central,Conservar en Archivo Central de forma indefinida.,Conservacion permanente segun PCD,8528f331adc59bbe00cd3845d065753941509100e8d89a0e4aa666e8b5ad238e
